Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Data Analytics with Google Cloud BigQuery and Looker Studio,"When you think about the best storytellers of the 21st century, you might not think… data? But data analytics play an increasingly large role in how we interpret what’s happening around us and is indispensable in solving real-world problems. In this course, learn how to use Google Cloud BigQuery and Looker Studio to tell your data analytics stories. Instructor Yoyu Li provides a step-by-step demonstration of solving a real-world data analytics challenge, looking at global temperature changes over nine decades. Yoyu shares a full view of the process of telling a story with data, starting from a problem statement. She shows you how to use public datasets in BigQuery, how to run SQL queries, how to add data sources, and visualize data in Looker Studio. Yoyu starts each chapter with a problem to solve, so you can immediately see the concepts in action as go you along.",Course,2023-09-08 10:02 UTC,N/A,false,N/A,
SQL for Data Analysis (2020),"If you’re looking to get Structured Query Language into your application development, but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions of your data, as well as how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Microsoft Power BI to help bring you data to life.",Course,2023-05-23 19:39 UTC,N/A,false,N/A,
"Choose the Right Tool for Your Data: Python, R, or SQL","Data professionals should choose the most effective and efficient tool for the task at hand. In some cases Python may be the right fit while R would be terrible in getting the job done, and in other cases the opposite may be true. Additionally, these coding languages are the most in-demand and essential, not only in data professions but also in several other tech fields. In this course Megan Lieu covers the use cases, pros and cons, and similarities and differences between using Python, R, and SQL in data projects. Megan covers the fundamentals you need to know for each language, shares real-world applications and examples for each, and shows you some case studies to show how you can use Python, R, and SQL to build your own projects.",Course,2023-09-14 07:33 UTC,N/A,false,N/A,
Excel: Avoiding Common Mistakes (Microsoft 365),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2021-12-10 16:40 UTC,N/A,false,N/A,
We Need to Talk (Blinkist Summary),"Texts, emails, DMs, tweets—these are increasingly the preferred methods of communication for the modern human race. While these are all effective ways of communicating information, are they actually a good form of communication? How often have you seen a comment misinterpreted because it was via a text or tweet or some other impersonal medium where context and tone can’t be accurately conveyed? While technology and social media have their positives, there isn’t yet a technology that can take the place of a face-to-face, in-person talk. This audiobook summary of Celeste Headlee’s <i>We Need to Talk</i> walks you through the art of the vital but increasingly undervalued skill—a good conversation. This course shows how effective conversation leads to more meaningful relationships and a greater understanding of other people, and offers advice on how to improve your own conversation skills.",Course,2022-05-02 16:29 UTC,N/A,false,N/A,
Engineering Drawings for Manufacturing,"Preparing clear, complete engineering drawings is a critical skill for nearly every design engineer. New engineers have traditionally had to learn drafting skills on the job, usually by trial and error. This course teaches the practical skills needed to independently prepare clear drawings that satisfy industry standards. For the learner, this course can increase marketability and reduce frustration during the first months of a new career. For the employer, this course can reduce the time required to train new engineers and decrease the potential for costly mistakes due to poor drawings.<br><br>

Join the engineering team from Tarkka for this hands-on look at creating engineering drawings for manufacturing, from preparing your template and selecting the right drawing type to choosing and placing views, specifying dimensions, and setting tolerances. By the end of this course, you'll have the skills to create clear, complete drawings that hold up to the most exacting standards.<br><br>

This course was created by Tarkka. We are pleased to offer this training in our library.",Course,2021-01-11 10:06 UTC,N/A,false,N/A,
Word Essential Training (Microsoft 365) (2021),"Learn how to create, edit, format, and share documents with ease using the Microsoft 365 (formerly Office 365) version of Word. Follow along with David Rivers as he shows all the essential features of this powerful tool. This course covers how to edit and format text to create a stylish document with instant purpose; create numbered and bulleted lists; work with columns and tables; add images to your documents; collaborate on documents with your team; and share documents via OneDrive and email. Plus, discover how to use the proofing tools in Word to check spelling and grammar, punch up your resume using Resume Assistant, and more.",Course,2022-11-04 09:13 UTC,N/A,false,N/A,
Learning Mastercam for SOLIDWORKS,"Discover how to use Mastercam, one of the most popular CAM packages in use today, within SOLIDWORKS. First, instructor Gabriel Corbett shows how to load models and assemblies, set up the machine and fixtures, and configure tools. Then, he demonstrates how to drill, tap, bore, pocket, and mill your material. Plus, see how to simulate the job and make great parts on a CNC.",Course,2021-02-23 03:01 UTC,N/A,false,N/A,
SOLIDWORKS: Animations,"By bringing your designs to life with animation, you can communicate precisely how your product should move—and show off how your product works in general. SOLIDWORKS offers tools and functions that can help engineering, design, and product teams generate animations of existing designs. In this course, learn what you need to know to create animations with this powerful 3D CAD software. Instructor Justin Flett steps through how to generate simple animations with the Animation Wizard, as well as how to create more complex animations using manual techniques and motion drivers. Plus, learn about basic physics-based motion and walkthrough animations.",Course,2020-11-12 04:56 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2023-02-06 09:15 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2022-10-26 16:15 UTC,N/A,false,N/A,
HR Communication in Today's Fluid Workplace,"Imagine that your entire business has shifted beneath your feet. As an HR professional, your employees are looking to you for answers. But when the road ahead is murky, how do you determine what to say and when to say it? In this course, instructor David Oates shows you how, explaining what it takes to guide teams from one side of a disruptive event to the other. David shares the must-haves and should-haves for a solid employee communications program. He details how to communicate throughout a disruptive event, explaining when to start talking, how to keep folks engaged and assured, and how to solicit feedback. Plus, discover how to ease your team back into their normal routine and prepare for future workplace disruptors.",Course,2021-08-24 11:11 UTC,N/A,false,N/A,
SOLIDWORKS 2019 Essential Training,"SOLIDWORKS is 3D CAD software that can speed up your design process and make you more productive—enabling you to deliver innovative products to market faster. In this course, Gabriel Corbett teaches you the essential tools and techniques necessary to create parts, assemblies, and drawings efficiently in SOLIDWORKS.<br><br>

First, see how to create two-dimensional sketches that become the foundation for 3D objects. Next, look at extruding and revolving 3D features; creating complex objects using the Sweep, Loft, and Surface tools; and modifying parts. Find out how to create uniform holes with the Hole Wizard, and explore more advanced modeling techniques using equations, mirroring, and pattern tools. Then review best practices for putting parts together in assemblies. Finally, get tips for creating detailed drawings, complete with an itemized bill of materials.<br><br>

Along the way, Gabriel highlights new features from the 2019 release, including Sketch Ink, which enables pen and touch markup and model manipulation using gestures, and the updated project curve and slice tools.",Course,2020-11-28 05:47 UTC,N/A,false,N/A,
Construction Management: Managing Risk,"Risk is an inherent part of construction and an integral part of the construction manager's job. Over the course of a project, you may have to manage compliance and safety issues, schedule and cost overruns, contract disputes, and more. To be successful, you need to understand the biggest risk factors faced on a job site and how to mitigate them. In this course, OSHA Authorized Outreach Trainer Jim Rogers explains the basics of risk management for construction. Learn how risk changes with the complexity of the project and the type of delivery method being employed. Review your role and the scope of the risk management process, from analysis to control. Along the way, review how technology can help you manage the challenges involved in daily activities using risk analysis and risk mitigation tools.",Course,2021-02-12 03:01 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2023-01-12 08:34 UTC,N/A,false,N/A,
CATIA V5: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the Class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in CATIA V5, a leading CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2020-11-07 03:22 UTC,N/A,false,N/A,
Autodesk Inventor 2021 Essential Training,"Get up and running with Inventor 2021, the professional product and mechanical design software from Autodesk. In this course, instructor John Helfen reviews the essential tools and techniques of this parametric design system, explaining how to build parts and assemblies and document them in a way that helps others understand how your designs can be manufactured. Learn how to create a sketch and turn it into a 3D part with the Extrude, Revolve, and Loft tools. Find out how to combine multiple parts into an assembly to test the interactions—before you spend time and money on manufacturing. Finally, discover how to document your designs with drawings, and enhance them with visual styles and annotations.",Course,2020-12-02 14:27 UTC,N/A,false,N/A,
SOLIDWORKS: Design Study and Optimization,"Designing a part or component is just the first step. How will it stand up in the real world? You could fabricate your design and test it under real-world stresses, but each time you learn something new, you'd have to modify your design, make it again, and retest. Although real-world testing is important, you can use the Design Study tool built into SOLIDWORKS to harness computing power to simulate how an object will stand up to real-world stresses. In this course, instructor Sam Sharkawi steps through how to create variables and sensors, set up a design table, and run a design study. Then, he shows how to run a simulation and use what you learn to improve your design.",Course,2021-08-15 16:49 UTC,N/A,false,N/A,
Six Sigma: Green Belt,"Six Sigma is a customer-focused, data-driven methodology that is widely used to analyze and improve the performance of processes, products, and services. In this course, get the training you need to become a Six Sigma Green Belt. Green Belts participate in—or lead—Six Sigma projects on a part-time basis under the guidance of a Black Belt. Operational excellence expert, master Black Belt trainer, and professor Dr. Richard Chua explains how to use Six Sigma and its process, quality, and statistical tools as he prepares you to become a Six Sigma Green Belt.<br><br>   

Note: Dr. Richard Chua builds upon his <i>Six Sigma Foundations</i> and <i>Learning Minitab</i> courses, and covers an array of topics, including measurement system analysis, descriptive statistics, hypothesis testing, design of experiments, statistical process control, and more.",Course,N/A,N/A,true,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-05-29 07:51 UTC,N/A,false,N/A,
SOLIDWORKS: Sheet Metal Design,"CAD software like SOLIDWORKS makes sheet metal design quick and cost effective. This course gets you up to speed with the sheet metal tools in SOLIDWORKS, and takes you on a trip to the factory floor to see the final manufactured results. Instructor Gabriel Corbett shows what goes on behind the scenes and provides tips on designing parts for the real world.<br><br>

First, review the sheet metal tools in SOLIDWORKS and the properties that make sheet metal unique: bend radius, K-factor, bend deduction, gauge thickness, and more. Then learn how to create basic parts, with base features, flanges, and bends that add strength and connections. Find out how to flatten parts and add holes, cuts, and corners that are manufacturing ready, and use the Convert to Sheet Metal command to convert imported geometry into native sheet metal parts. Gabriel also shows you how to create assemblies from multiple parts, use the Pattern and Mirrors tools to effortlessly duplicate existing work, and then document your designs with detailed sheet metal drawings. Watch the bonus videos to learn about the different machinery and processes that occur during manufacturing.",Course,2020-09-22 04:32 UTC,N/A,false,N/A,
Docker for Developers,"<strong>Projects</strong>
<ul><li>Build and deploy a Docker app.</li></ul>

<p>Discover how to leverage Docker for application development. Instructor Emmanuel Henri—an executive and full-stack developer with 20 years of experience in programming, technology, and design—walks you through deploying your first Docker app, from base application setup to deploying your app to the cloud.</p>",Course,2023-08-09 10:22 UTC,N/A,false,N/A,
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2023-03-04 05:57 UTC,N/A,false,N/A,
SQL for Data Analysis,"<p>If you’re looking to use Structured Query Language in your application development but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions about your data and how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Jupyter Notebook to help bring your data to life.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out both Codespaces videos to learn how to get started.</p>",Course,2023-08-28 10:05 UTC,N/A,false,N/A,
Revit 2023: Essential Training for MEP,"Mechanical, electrical, and plumbing (MEP) design is one of the major components of the BIM chain—and Revit is the design tool of choice for many MEP engineers. This course with instructor Eric Wing focuses on the MEP features in the 2023 version of Revit and is designed for MEP designers with a beginning to intermediate understanding of Revit. You can dive into a specific trade, or take the entire course to learn about all aspects of the vast Revit MEP ecosystem. Learn how to create basic floor plans, design electric circuits and lighting systems, tackle a mechanical project, create plumbing plans, and document your designs for construction and fabrication. Eric keeps the lessons short and focused, so you can get the most value from the time you spend training.",Course,2022-12-08 12:29 UTC,N/A,false,N/A,
Learning SQL Programming,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2022-02-02 10:54 UTC,N/A,false,N/A,
SQL for Finance Professionals,"If you work in the financial sector, one tool that may not come to mind when thinking about the day-to-day work in finance is SQL—structured query language. But SQL is the programming language used to query data, so it’s extremely useful for anyone who works with vast stores of information, including financial professionals. As more and more data gets produced from the proliferation of modern tools and technologies, it’s increasingly important to know how to handle all the new data, and in this course, Megan Lieu shows you how to do just that using SQL. She starts with the background of SQL, including use cases, SQL data types, how to query data, how to use functions to perform calculations, and more. She then delves into finance-specific applications of SQL, giving an overview of how SQL is used in finance, the difference when using data in fintech vs. finance, and shows you how to use SQL in combination with a more familiar financial sector tool, Excel.",Course,2023-08-29 11:28 UTC,N/A,false,N/A,
Starting Your Career as a Financial Analyst,"Curious about pursuing a career as a financial analyst? If so, you may want to explore the basics of what it’s really like to work in the field. In this audio-only course—adapted from the <i>Free the Data Podcast</i>—Ben Sullins talks with Christian Martinez about the key lessons of his career journey working as the finance automation manager for Kraft Heinz.<br><br>Discover the wide range of career opportunities available to professional financial analysts. Learn about the difference between finance and accounting, the fundamentals of finance automation, the most common tools and best practices of financial analysis, and what you can do—even if you have very little experience—to level up your skills and land a role in the field. Along the way, Christian shares his insights about ongoing developments in the world of finance, from cryptos and quantum computing, to machine learning, blockchain, and more.<br><br>Note: This course was created by Ben Sullins of the <i>Free the Data Podcast</i>. We are pleased to host this content in our library.",Course,2023-09-20 13:56 UTC,N/A,false,N/A,
Nano Tips to Enhance Your Communication with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>Here, award-winning leadership strategist and peak performance specialist Shadé Zahrai presents useful tips to help you communicate more effectively. Shadé shows you how to drive positive outcomes with your word choices. She covers how to foster trust by challenging your assumptions, responding positively, and owning a professional apology. Plus, Shadé guides you through mastering nonverbal communication through voice modulation, aligning delivery and intention, and using body language and physical gesture to reinforce your meaning. With these quick videos, you can make learning fit into even your busiest days!</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2023-04-12 08:52 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2022-06-10 10:17 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-14 03:35 UTC,N/A,false,N/A,
Introduction to Geometric Dimensioning and Tolerancing,"When your design and tolerance constraints are lost in translation, you can end up with out-of-tolerance parts that hold up the manufacturing process and cost you money. Geometric Dimensioning and Tolerancing (GD&T) is a system that engineers and manufacturers can use to communicate essential details of how products are to be manufactured. Engineers need to express required tolerances when they put out a request for quotes, and manufacturers need to tell prospective customers what their limits are. In this course, instructor Kipp Bradford shows how to clearly communicate both of these needs, covering the basics of GD&T from both the engineering and machinist perspectives. Learn about essential GD&T rules, terms, and symbols; GD&T tools in CAD; interpreting GD&T in CAD models;  and more.",Course,2021-08-07 12:55 UTC,N/A,false,N/A,
Humane Productivity: Burnout Proof Your Performance,"It might seem counterintuitive, but to get more done, you have to work less.  Working hard in pursuit of our goals is a hardwired belief, one that has resulted in productivity ideals that are unrealistic—or even unattainable. Non-stop hustle doesn’t guarantee better performance (the research is very clear about this), it just guarantees more work. 

In this course, Rahaf Harfoush teaches you how to rethink productivity (hint: productivity is not about feeling guilty if you're not productive), and build sustainable productivity practices that support your well-being, rather than drain you mentally or burn you out. Rahaf debunks outdated productivity myths and shows you new ways to manage your energy to design a system of working that is more aligned with your creative cycles, instead of focusing on productivity tips that do more harm than good.",Course,2022-03-12 08:06 UTC,N/A,false,N/A,
AutoCAD: Construction Drawings (2017),"AutoCAD is a world leader in computer-aided design (CAD), and users around the world use this powerful software to communicate their design intent in many different disciplines. In this course, Shaun Bryant takes you through how to work with AutoCAD to create construction drawings that accurately communicate your design intent. Shaun explains how to use the tools and features within AutoCAD to develop drawings that clearly express the sizes of the objects you want to build. He covers how to develop a title block, set up attributes, set up layers to industry standards, develop plans and elevations, set up viewports, and more.",Course,2020-09-30 11:52 UTC,N/A,false,N/A,
Agile Foundations,"Teams that embrace an agile mindset are often better able to respond to customer feedback and shifting business needs—and have a bit more fun in the process. Interested in bringing the principles of agile to your team? This course can help. Join Doug Rose as he steps through the fundamental concepts you need to know to start thinking like an agile team. Doug goes over the values and principles covered in the agile manifesto, as well as how to enhance communication with user stories and cross-functional teams. Discover how to respond to change the agile way, explore popular agile frameworks, and learn about the common roles on an agile team. Along the way, Doug provides you with some exercises that can help boost your team's agility and productivity.",Course,2023-08-08 11:57 UTC,N/A,true,N/A,
Learning SOLIDWORKS CAM,"SOLIDWORKS CAM is a powerful add-on that allows designers to turn models into ready-to-manufacture instructions for computer numerical control (CNC) machines. See how to convert the features of a 3D part into the NC G-code required to machine those features out of a piece of stock on a CNC machine. Instructor Kipp Bradford demonstrates how to identify features in a design for machining, prepare the toolpaths and operations, and generate the output file and setup sheet needed to manufacture parts.<br><br>

Note: This course assumes familiarity with part and assembly modeling in SOLIDWORKS, as well as the fundamentals of CNC setup and operation.",Course,2022-06-14 06:40 UTC,N/A,false,N/A,
Fusion 360: Designing for Metal,"If you're designing metal parts, you'll need to do things differently than you would for other materials and processes. This course shows how to use Autodesk Fusion 360—the affordable cloud-powered CAD and CAM tool that works like more expensive, industry-focused tools—to build effective designs specifically for subtractive manufacturing in metal. Thom Tremblay shows how to build solid designs, simulate how the model will hold up to the stress of production and use, render the design for presentation, and finalize it for manufacturing. The workflows showcased in this course are tailored to help the nonprofessional CAD user, and the maker, to be more effective and quickly have access to the tools that a few years ago were only available to the few and at an astronomical price.",Course,2021-05-08 05:59 UTC,N/A,false,N/A,
What Is Business Analysis?,"Is business analysis a profession, a competency, or a research discipline?  Would it confuse you if the answer to this question was all three?  In this course, Laura Paton provides needed clarity by exploring the components of the profession and the necessary competencies to fulfill a business analysis role. She establishes a comprehensive viewpoint of the breadth of the business analysis profession, then helps you to recognize a core set of competencies required to effectively perform business analysis. She shows you how to make a connection between business analysis and research. Laura concludes by introducing you to the exciting variety of career paths that business analysis has to offer.",Course,2023-08-15 19:10 UTC,2023-08-15 19:06 UTC,false,N/A,
Business Analysis for Project Managers,"<div><a href=""https://www.linkedin.com/newsletters/6910288333902417920?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Greta's LinkedIn Newsletter</a></div><br>Business analysis may seem like a broad term, but it fulfills a very specific demand within a company’s operations. A business analyst identifies business needs, and recommends relevant solutions and the requirements needed to deliver those solutions. However, some companies may not have dedicated business analysts, and it often falls to project managers to perform business analysis duties. In this course, Greta Blash shows project managers how to incorporate business analysis into their workflow.<br><br>Greta illustrates the concepts by looking at a topic familiar to project managers—projects—through the lens of business analysis, starting with the pre-project phase where needs are identified, to identifying stakeholders, developing a project roadmap, analyzing requirements, all the way to closure and deployment. By the end of this course, you’ll be able to employ business analysis concepts to avoid inefficiencies, mistakes, and reworking, and deliver your projects on budget and on time.",Course,2023-08-01 17:36 UTC,N/A,true,N/A,
SAP ERP Essential Training,"The SAP Enterprise Resource Planning (ERP) platform helps large organizations streamline their processes across each segment of their business, from sales to financial accounting. In this course, instructor Justin Valley covers key concepts within SAP ERP and shares valuable tips to help you use this enterprise software most effectively. Justin explains the difference between master data and transactional data in SAP before diving into commonly used SAP modules, including SAP Materials Management (MM) and SAP Sales and Distribution (SD). He also shows how end users can navigate inside SAP, use various search methods to find data, run and export reports from SAP, and more.",Course,2023-08-14 18:14 UTC,N/A,true,N/A,
Scrum: The Basics,"If you've spent any time in the project management world, you've likely heard of scrum—the popular framework for managing complex processes. If this mysterious-sounding framework has piqued your interest, this course can help provide you with a basic understanding of what scrum is and how you can start implementing it at work. Follow scrum expert Kelley O'Connell as she walks through why scrum has taken the business world by storm, and how it asks you to organize your team and work. Plus, she explains how to manage your projects and measure how they're faring, and set manageable improvement goals.",Course,2023-08-30 00:04 UTC,N/A,true,N/A,
Human Resources: Running Company Onboarding,"<div><a href=""https://www.linkedin.com/newsletters/6853700651663409152?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Jeff's LinkedIn Newsletter</a></div><br>The first step in converting a promising job candidate into a successful employee lies in your organization's onboarding process. How can you improve an employee's first days and weeks on the job? How can you create long-term employee engagement and growth? How do you make sure onboarding is consistent from team to team? In the course, HR professional Jeff Toister shows how to build a successful company-wide onboarding program. He helps you determine the contacts, equipment, and training employees need to be effective, and define an engaging onboarding experience that excites new hires. He helps you identify key onboarding stakeholders (including recruiters, trainers, and managers), establish goals and milestones to evaluate employees' progress, and develop a first-rate training program to show new hires how to do their jobs.",Course,2021-07-20 01:56 UTC,N/A,false,N/A,
SOLIDWORKS: Designing Bearings,"Bearings are an amazing innovation in mechanical engineering. They can ensure that a part rotates or slides the way you want it to, and can ensure that parts don't move in directions they shouldn't. They can reduce friction, saving energy in your design. In this course, mechanical engineer and certified SOLIDWORKS expert Ryan Krawchuk teaches you the fundamentals of bearings, and models a series of different mechanical bearings, creating complex and dynamic multipart assemblies that behave as they would in the real world. Ryan covers three types of bearings—ball, roller, and spherical bearings—and shows how to design their constituent parts in SOLIDWORKS and combine those parts into a final bearing assembly.",Course,2021-10-22 13:18 UTC,N/A,false,N/A,
